Year,quarter,citymarketid_1,citymarketid_2,city1,city2,nsmiles,passengers,fare
2024,2,33342,32457,"Milwaukee, WI","San Francisco, CA (Metropolitan Area)",1845,264,310.77
2024,2,33244,31703,"Memphis, TN","New York City, NY (Metropolitan Area)",1002,728,234.42
2024,2,33342,34100,"Milwaukee, WI","Philadelphia, PA",690,247,242.67
2024,2,33485,30852,"Madison, WI","Washington, DC (Metropolitan Area)",714,298,287.43
2024,2,33485,31703,"Madison, WI","New York City, NY (Metropolitan Area)",819,379,311.27
2024,2,33495,30466,"New Orleans, LA","Phoenix, AZ",1300,431,279.19
2024,2,33495,30559,"New Orleans, LA","Seattle, WA",2086,596,294.61
2024,2,33495,30852,"New Orleans, LA","Washington, DC (Metropolitan Area)",998,1804,221.66
2024,2,33495,31123,"New Orleans, LA","St. Louis, MO",604,291,234.67
2024,2,33342,30466,"Milwaukee, WI","Phoenix, AZ",1460,812,246.91
2024,2,33105,33195,"Cincinnati, OH","Tampa, FL (Metropolitan Area)",776,941,142.1
2024,2,33105,34100,"Cincinnati, OH","Philadelphia, PA",507,342,253.34
2024,2,33105,34614,"Cincinnati, OH","Salt Lake City, UT",1450,247,362.06
2024,2,33192,30559,"Sacramento, CA","Seattle, WA",605,1535,176.35
2024,2,33192,30852,"Sacramento, CA","Washington, DC (Metropolitan Area)",2395,733,338.81
2024,2,33192,31123,"Sacramento, CA","St. Louis, MO",1679,255,286.77
2024,2,33192,31884,"Sacramento, CA","Spokane, WA",649,278,218.52
2024,2,33105,31454,"Cincinnati, OH","Orlando, FL",757,1157,168.62
2024,2,33192,34614,"Sacramento, CA","Salt Lake City, UT",532,457,232.3
2024,2,33195,30852,"Tampa, FL (Metropolitan Area)","Washington, DC (Metropolitan Area)",842,2996,202.52
2024,2,33195,35356,"Tampa, FL (Metropolitan Area)","Trenton, NJ",955,269,98.77
2024,2,33198,30466,"Kansas City, MO","Phoenix, AZ",1044,950,241.77
2024,2,33198,30559,"Kansas City, MO","Seattle, WA",1489,689,260.01
2024,2,33198,30693,"Kansas City, MO","Nashville, TN",491,473,236.39
2024,2,33198,30852,"Kansas City, MO","Washington, DC (Metropolitan Area)",967,1234,252.04
2024,2,33105,32575,"Cincinnati, OH","Los Angeles, CA (Metropolitan Area)",1900,691,316.34
2024,2,33198,31650,"Kansas City, MO","Minneapolis/St. Paul, MN",393,439,217.41
2024,2,33198,31703,"Kansas City, MO","New York City, NY (Metropolitan Area)",1148,1344,218.27
2024,2,33198,32211,"Kansas City, MO","Las Vegas, NV",1139,850,238.26
2024,2,33198,32457,"Kansas City, MO","San Francisco, CA (Metropolitan Area)",1499,583,293.76
2024,2,33198,32467,"Kansas City, MO","Miami, FL (Metropolitan Area)",1251,666,249.81
2024,2,33198,32575,"Kansas City, MO","Los Angeles, CA (Metropolitan Area)",1363,1397,226.01
2024,2,33198,33195,"Kansas City, MO","Tampa, FL (Metropolitan Area)",1048,602,221.57
2024,2,33192,33570,"Sacramento, CA","San Diego, CA",480,2662,148.64
2024,2,33198,33495,"Kansas City, MO","New Orleans, LA",689,257,227.53
2024,2,33198,33570,"Kansas City, MO","San Diego, CA",1334,443,252.46
2024,2,33198,34057,"Kansas City, MO","Portland, OR",1482,325,258.4
2024,2,33198,34100,"Kansas City, MO","Philadelphia, PA",1038,413,262.03
2024,2,33198,34492,"Kansas City, MO","Raleigh/Durham, NC",904,279,245.47
2024,2,33198,34614,"Kansas City, MO","Salt Lake City, UT",920,350,273.87
2024,2,33214,30559,"San Antonio, TX","Seattle, WA",1774,662,262.15
2024,2,33198,31454,"Kansas City, MO","Orlando, FL",1072,1144,206.28
2024,2,32575,34057,"Los Angeles, CA (Metropolitan Area)","Portland, OR",859,4064,202.87
2024,2,32575,34100,"Los Angeles, CA (Metropolitan Area)","Philadelphia, PA",2402,2218,341.39
2024,2,32575,34314,"Los Angeles, CA (Metropolitan Area)","Provo, UT",565,528,87.88
2024,2,32575,34433,"Los Angeles, CA (Metropolitan Area)","Santa Rosa, CA",433,610,174.37
2024,2,32575,34492,"Los Angeles, CA (Metropolitan Area)","Raleigh/Durham, NC",2239,1011,365.37
2024,2,32575,34524,"Los Angeles, CA (Metropolitan Area)","Richmond, VA",2305,399,318.85
2024,2,32575,34570,"Los Angeles, CA (Metropolitan Area)","Reno, NV",415,1314,154.58
2024,2,32575,33195,"Los Angeles, CA (Metropolitan Area)","Tampa, FL (Metropolitan Area)",2158,1251,289.75
2024,2,32575,34653,"Los Angeles, CA (Metropolitan Area)","Tulsa, OK",1283,450,259.99
2024,2,32575,34685,"Los Angeles, CA (Metropolitan Area)","Savannah, GA",2152,254,403.37
2024,2,32600,30852,"Little Rock, AR","Washington, DC (Metropolitan Area)",912,264,306.25
2024,2,32600,31703,"Little Rock, AR","New York City, NY (Metropolitan Area)",1100,279,276.39
2024,2,33044,30852,"Louisville, KY","Washington, DC (Metropolitan Area)",495,734,207.42
2024,2,33044,31454,"Louisville, KY","Orlando, FL",719,651,176.77
2024,2,33044,31703,"Louisville, KY","New York City, NY (Metropolitan Area)",699,766,228.42
2024,2,32575,33851,"Los Angeles, CA (Metropolitan Area)","Oklahoma City, OK",1187,555,315.65
2024,2,33044,33195,"Louisville, KY","Tampa, FL (Metropolitan Area)",729,448,180.55
2024,2,33105,30194,"Cincinnati, OH","Dallas/Fort Worth, TX",812,746,237.1
2024,2,33105,30325,"Cincinnati, OH","Denver, CO",1069,797,191.46
2024,2,33105,30466,"Cincinnati, OH","Phoenix, AZ",1569,549,242.54
2024,2,33105,30559,"Cincinnati, OH","Seattle, WA",1965,503,302.05
2024,2,33105,30852,"Cincinnati, OH","Washington, DC (Metropolitan Area)",430,858,196.91
2024,2,33105,31453,"Cincinnati, OH","Houston, TX",886,520,221.71
2024,2,32575,34614,"Los Angeles, CA (Metropolitan Area)","Salt Lake City, UT",590,3644,180.21
2024,2,33105,31504,"Cincinnati, OH","Valparaiso, FL",600,334,115.26
2024,2,33105,31650,"Cincinnati, OH","Minneapolis/St. Paul, MN",596,388,241.72
2024,2,33105,31703,"Cincinnati, OH","New York City, NY (Metropolitan Area)",626,1476,203.21
2024,2,33105,31714,"Cincinnati, OH","Fort Myers, FL",879,458,172.44
2024,2,33105,32211,"Cincinnati, OH","Las Vegas, NV",1678,719,230.33
2024,2,33105,32457,"Cincinnati, OH","San Francisco, CA (Metropolitan Area)",2036,425,294.74
2024,2,33105,32467,"Cincinnati, OH","Miami, FL (Metropolitan Area)",948,886,189.57
2024,2,33044,32467,"Louisville, KY","Miami, FL (Metropolitan Area)",910,487,200.59
